Merged_Group,Count,Name,Topics Merged,ThemeText,Business_Category
77,432,['77_ev_same_they_hev'],1,77_ev_same_they_hev,9
78,430,['78_nonsense_should_support_some'],1,78_nonsense_should_support_some,6
80,426,['80_booked_vfm_waiting_2022'],1,80_booked_vfm_waiting_2022,18
81,425,['81_लगव_लम_यद_लग'],1,81_लगव_लम_यद_लग,11
82,422,['82_rt_reach_ather_yeah'],1,82_rt_reach_ather_yeah,9
83,418,['83_around_then_in_city'],1,83_around_then_in_city,4
86,414,['86_great_very_only_will'],1,86_great_very_only_will,9
85,414,['85_once_33psi_recommended_reset'],1,85_once_33psi_recommended_reset,19
87,410,['87_3m_keep_insurance_in'],1,87_3m_keep_insurance_in,2
88,409,['88_sc_do_traction_updation'],1,88_sc_do_traction_updation,9
89,401,['89_battery_cycles_tesla_cars'],1,89_battery_cycles_tesla_cars,2
115,401,"['115_statiq_apps_also_plugin', '260_android_app_ios_zconnect']",2,115_statiq_apps_also_plugin 260_android_app_ios_zconnect,0
91,398,['91_continue_same_here_message'],1,91_continue_same_here_message,9
92,396,['92_enjoy_ev_evs_used'],1,92_enjoy_ev_evs_used,2
95,377,['95_kw_on_avg_per'],1,95_kw_on_avg_per,19
96,372,['96_use_aftermarket_update_updated'],1,96_use_aftermarket_update_updated,13
97,368,['97_below_they_sites_issue'],1,97_below_they_sites_issue,0
98,366,['98_rajmargyatra_mumbai_rajmarg_mahamarg'],1,98_rajmargyatra_mumbai_rajmarg_mahamarg,11
99,366,['99_option_arrive_broke_ticket'],1,99_option_arrive_broke_ticket,1
100,364,['100_owner_have_irl_had'],1,100_owner_have_irl_had,1
101,362,['101_contact_pls_kindly_message'],1,101_contact_pls_kindly_message,9
